19 | Q4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 | R9
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 R9 | C16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 R9 C16 | C17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 R9 C16 C17 | B17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 R9 C16 C17 B17 | D17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 R9 C16 C17 B17 D17 | B15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 P4 R9 C16 C17 B17 D17 B15 | M17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 R9 | O3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 O17 | Q14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 | R16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 | Q17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 | P16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 P16 | S16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 P16 S16 | S15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 P16 S16 S15 | S17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 P16 S16 S15 S17 | R15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 P16 S16 S15 S17 R15 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 R17 R16 Q17 P16 S16 S15 S17 R15 O17 | O3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 O17 | S16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 O17 S16 | R17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 O17 S16 R17 | R11
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 | R10
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 | P18
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 | L16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 | N16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 | H17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 | N17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 | C17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 | C16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 | D17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 | E17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 | B16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 | B15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 | B17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 | C15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 C15 | B14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 C15 B14 | A15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 C15 B14 A15 | D14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 C15 B14 A15 D14 | E15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 C15 B14 A15 D14 E15 | D18
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R10 O17 P18 L16 N16 H17 N17 C17 C16 D17 E17 B16 B15 B17 C15 B14 A15 D14 E15 D18 | H15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R14 | L17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R14 L17 | J17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 O3 R14 L17 J17 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 | R14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 | R12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 | R17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 | R16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 | Q17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 | P16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 P16 | S16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 P16 S16 | S15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 P16 S16 S15 | S17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 P16 S16 S15 S17 | R15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 P16 S16 S15 S17 R15 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 R17 R16 Q17 P16 S16 S15 S17 R15 O17 | R9
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 F4 | E4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 F4 E4 | E3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 F4 E4 E3 | H5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 F4 E4 E3 H5 | H4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 F4 E4 E3 H5 H4 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 G3 R14 R12 F4 E4 E3 H5 H4 J4 | E5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 R14 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 D7 | R6
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 D7 R6 | O3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 | J7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 J7 | H4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 J7 H4 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 J7 H4 J4 | O3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 | L5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 L5 | Q6
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 L5 Q6 | P5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 L5 Q6 P5 | R3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 L5 Q6 P5 R3 | Q3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 L5 Q6 P5 R3 Q3 | R4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 F5 O4 L5 Q6 P5 R3 Q3 R4 | J7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 | C12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 | D12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 | D11
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 | C11
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 | E11
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 E11 | B12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 E11 B12 | C10
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 E11 B12 C10 | C13
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 E11 B12 C10 C13 | B11
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 E11 B12 C10 C13 B11 | C9
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 J5 O3 C12 D12 D11 C11 E11 B12 C10 C13 B11 C9 | C12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 G5 | E5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 G5 E5 | K5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 K4 | M3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 K4 M3 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 K4 M3 F5 | D7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 K4 M3 F5 D7 | R10
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 K4 M3 F5 D7 R10 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 | D2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 | H3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 | F4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 | E3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 | E2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 | C3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 | G2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 | H4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 | G5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 | E14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 E14 | B16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 E14 B16 | R14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 E14 B16 R14 | R12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 E14 B16 R14 R12 | P14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 L3 | J3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 J4 L3 J3 | E14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 J5 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 J5 F5 | H2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 J5 F6 | D7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 | G2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 | F2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 | D7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 | H4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 | J3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 | H5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 | G4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 | K3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 | J2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 J2 | K2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 J2 K2 | K4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 J2 K2 K4 | J5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 J2 K2 K4 J5 | H2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 J2 K2 K4 J5 H2 | L4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 H5 G4 K3 J2 K2 K4 J5 H2 L4 | R13
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 K3 | J2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 K3 J2 | H5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 G2 F2 D7 H4 J4 J3 K3 J2 H5 | G4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 D7 | H4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 D7 H4 | G2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 E3 E2 C3 F6 D7 H4 G2 | F2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 C3 | H4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 C3 H4 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 C3 H4 J4 | H5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 F4 C3 H4 J4 H5 | J3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 C3 | B4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 C3 B4 | F4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 C3 B4 F4 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H3 C3 B4 F4 F5 | G4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 | F4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 | E3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 | E2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 | G2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 | C3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 C3 | F2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 C3 F2 | B4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 C3 F2 B4 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 C3 F2 B4 F5 | O3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 C3 F2 B4 F5 O3 | P2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 C3 F2 B4 F5 E5 | G4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 | C3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 | F6
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 | H3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 H3 | H6
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 H3 H6 | D7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 H3 H6 D7 | K4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 H3 H6 D7 K4 | K3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 H3 H6 D7 K4 K3 | L3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 H4 F4 E3 E2 G2 F2 C3 F6 H3 H6 D7 K4 K3 L3 | L4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 | G3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 G3 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 G3 J4 | G4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 G3 J4 G4 | G5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 G3 J4 G4 G5 | J2
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 G3 J4 G4 G5 J2 | E14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 E4 D2 F4 G3 J4 C3 | B4
